EmployeeID,gender,department,churned
1,Male,Sales,No
2,Female,Marketing,Yes
3,Male,Human Resources,No
4,Male,Engineering,No
5,Female,Finance,Yes
6,Male,Sales,No
7,Female,Marketing,Yes
8,Male,Human Resources,No
9,Male,Engineering,No
10,Female,Finance,Yes
11,Male,Sales,No
12,Female,Marketing,Yes
13,Male,Human Resources,No
14,Male,Engineering,No
15,Female,Finance,Yes
16,Male,Sales,No
17,Female,Marketing,Yes
18,Male,Human Resources,No
19,Male,Engineering,No
20,Female,Finance,Yes
21,Male,Sales,No
22,Female,Marketing,Yes
23,Male,Human Resources,No
24,Male,Engineering,No
25,Female,Finance,Yes
