EmployeeID,Days Present,Accuracy of Work,Meeting Project Deadlines,Task Completion Rates,Interpersonal Skills Rating,Decision-Making Skills Rating,Sales Revenue Generated
1,20,High,Yes,85%,8,7,$50,000
2,22,Medium,Yes,90%,7,6,$60,000
3,25,High,No,80%,9,8,$55,000
4,19,Low,Yes,75%,6,5,$45,000
5,23,Medium,Yes,85%,7,7,$65,000
6,21,High,Yes,95%,8,8,$70,000
7,24,Low,No,70%,5,4,$40,000
8,18,Medium,Yes,80%,6,6,$50,000
9,20,High,Yes,90%,8,7,$55,000
10,22,Medium,Yes,85%,7,6,$60,000
11,25,High,No,75%,9,8,$45,000
12,19,Low,Yes,70%,6,5,$70,000
13,23,Medium,Yes,80%,7,7,$80,000
14,21,High,Yes,90%,8,8,$90,000
15,24,Low,No,65%,5,4,$55,000
16,18,Medium,Yes,75%,6,6,$60,000
17,20,High,Yes,85%,8,7,$70,000
18,22,Medium,Yes,80%,7,6,$75,000
19,25,High,No,70%,9,8,$65,000
20,19,Low,Yes,65%,6,5,$50,000
21,23,Medium,Yes,75%,7,7,$55,000
22,21,High,Yes,85%,8,8,$80,000
23,24,Low,No,60%,5,4,$40,000
24,18,Medium,Yes,70%,6,6,$45,000
25,20,High,Yes,80%,8,7,$60,000
26,22,Medium,Yes,75%,7,6,$65,000
27,25,High,No,65%,9,8,$55,000
28,19,Low,Yes,60%,6,5,$70,000
29,23,Medium,Yes,70%,7,7,$80,000
30,21,High,Yes,85%,8,8,$90,000
31,24,Low,No,55%,5,4,$55,000
32,18,Medium,Yes,65%,6,6,$60,000
33,20,High,Yes,75%,8,7,$70,000
34,22,Medium,Yes,70%,7,6,$75,000
35,25,High,No,60%,9,8,$65,000
36,19,Low,Yes,55%,6,5,$50,000
37,23,Medium,Yes,65%,7,7,$55,000
38,21,High,Yes,80%,8,8,$80,000
39,24,Low,No,50%,5,4,$40,000
40,18,Medium,Yes,60%,6,6,$45,000
41,20,High,Yes,70%,8,7,$60,000
42,22,Medium,Yes,65%,7,6,$65,000
43,25,High,No,55%,9,8,$55,000
